Training accuracy,Evaluation accuracy,Training loss,Evaluation loss
0.8073442941519362,0.8559204056158921,0.5121084237710024,0.38915454727761883
0.8793195028075865,0.8663502635225193,0.32533712474963605,0.35934436781441464
0.9145854090680431,0.8695077926231172,0.23147974277918154,0.3852094895042041
0.9359890079957449,0.8608177920317788,0.16946752722828817,0.4616704762858503
0.9515573495658857,0.8601719976522498,0.12952002899673504,0.5065310067113709
0.9620533866638465,0.85800316633503,0.10313987145677973,0.5081712751484969
0.9688888689431753,0.8527741033840701,0.07969539421491134,0.5429241840234574
0.9716931612489177,0.863135819424486,0.07470973526151517,0.5801107949193787
0.9756388001424665,0.8626142000974778,0.06379108598981148,0.6131483377779231
0.9817262859484536,0.8593010287082723,0.048211878595443874,0.6587406918406487
0.9826590053043684,0.8568637253247777,0.04686050660287341,0.6381173990666866
0.9856721043726488,0.8593317296313084,0.04162925221503545,0.741013778044897
0.9877829235702844,0.8612219606754462,0.03666279561077364,0.7268105626982801
0.9889189582845983,0.8566188466323906,0.03210020875140356,0.772175641182591
0.9895281983250714,0.8571094189132272,0.03122067370881828,0.8434587765265914
0.9909562530245992,0.8636754553180034,0.026755317269514006,0.7789360670482411
0.9921122310703857,0.8623208518870948,0.024074674821279656,0.7652611132053768
0.9930716400966977,0.8617309761682704,0.023408113507171854,0.7607473564498565
0.993070576247174,0.860940027040749,0.022643390416096035,0.7800703846356448
0.994015986110284,0.8539327652100098,0.017473081965596438,0.8731087007943321
0.9940195345286268,0.8578532294821121,0.018887070840439543,0.8260478894500172
0.9942273399897419,0.8607434649821478,0.018635876212964576,0.7616542739903226
0.9944697030927038,0.8577832096545697,0.016697794178841062,0.8478373657254612
0.9941069433048162,0.8571406712306265,0.018425113477114324,0.9029824619784075
0.9951966923557094,0.860654262008405,0.015466942593682175,0.8171249492203488
0.9948692524777266,0.8574858921095367,0.017608206157232277,0.8409532203393824
0.9954443473674315,0.8595516615591245,0.015693702008903552,0.8686169710229424
0.9956377970732821,0.8519322098189759,0.013832019112156466,0.8364227098577163
0.993494564000093,0.8612089795446592,0.02189646712772978,0.8003539309343871
0.9965004476923994,0.8574358364740721,0.010863488791913439,0.9057885776547825
