train_accuracy_micro,train_accuracy_macro,train_recall_at_1_macro,train_recall_at_5_macro,train_recall_at_10_macro,train_recall_at_1_micro,train_recall_at_5_micro,train_recall_at_10_micro,train_losses,train_mrr,valid_accuracy_micro,valid_accuracy_macro,valid_recall_at_1_macro,valid_recall_at_5_macro,valid_recall_at_10_macro,valid_recall_at_1_micro,valid_recall_at_5_micro,valid_recall_at_10_micro,valid_losses,valid_mrr
0.30506482786602446,0.39354685611195034,0.39354685611195034,0.6296546565161811,0.7369260390599569,0.30506482786602446,0.6072685850991143,0.751632747385237,2.6289891878763836,0.44842618041568333,0.3244207110669878,0.3771542019314236,0.3771542019314236,0.6519542137781779,0.7547655502955118,0.3244207110669878,0.6701486733224656,0.8031621310445998,2.7501597351498073,0.48078466322686936
0.32536503473917644,0.405552159415351,0.405552159415351,0.6611394445101421,0.7627555383576288,0.32536503473917644,0.6372997946209378,0.7807038280698988,2.519621398713854,0.47151145670149064,0.3363790545198653,0.4021054042710198,0.4021054042710198,0.6738424261411031,0.7756183902422588,0.3363790545198653,0.6908257060580784,0.8240283303790622,2.657951662275526,0.4954978154765235
0.35562379558881124,0.44849056336614823,0.44849056336614823,0.6933488527933757,0.7833139922883775,0.35562379558881124,0.6757754802703857,0.8067733420266046,2.383011637793647,0.5027251442273458,0.355365135272344,0.42170561684502494,0.42170561684502494,0.6922953565915425,0.7890858001179165,0.355365135272344,0.7153620746400621,0.8418390234311421,2.56427419980367,0.5157856040530735
0.3782677524619632,0.4723997460471259,0.4723997460471259,0.7078655083974202,0.7919715775383843,0.3782677524619632,0.6995009938875835,0.8238148278660244,2.2961112870110405,0.5240951644049751,0.3740421281920539,0.4396407379044427,0.4396407379044427,0.7044868919584486,0.7996156083212959,0.3740421281920539,0.7327404962645636,0.8578666912184821,2.496793270111084,0.5339384006129371
0.39712186919318304,0.508663167556127,0.508663167556127,0.7363525284661188,0.815612973107232,0.39712186919318304,0.7196363700760735,0.8398304528660244,2.168999038802253,0.5429915971226162,0.3843875441286299,0.4486927111943563,0.4486927111943563,0.7144527978367275,0.8076175080405341,0.3843875441286299,0.741738670402103,0.8650958869192336,2.423528242111206,0.54334849913915
0.41392024954160056,0.5160550329420301,0.5160550329420301,0.747843250963423,0.820540103647444,0.41392024954160056,0.7366276794009738,0.8540630526012845,2.1053032716115316,0.5587387853198581,0.3986826128429837,0.4611602611011929,0.4611602611011929,0.7272342205047607,0.8147785849041409,0.3986826128429837,0.7576413975821601,0.875009032090505,2.3627114560869007,0.5579632507430182
0.4298056662082672,0.5374019510216184,0.5374019510216184,0.7567246158917745,0.8295560174518162,0.4298056662082672,0.7492977778116862,0.8636741333537632,2.034240958425734,0.5731025536855062,0.41045680774582755,0.47505000101195444,0.47505000101195444,0.7362854811880324,0.8201428545845879,0.41045680774582755,0.7716742939419217,0.8843805193901062,2.304285176595052,0.569843688276079
0.4492970254686144,0.5560860753059387,0.5560860753059387,0.7731749296188355,0.8401283476087782,0.4492970254686144,0.7691830237706502,0.8768996874491374,1.9505543020036487,0.5915205664104886,0.422173802057902,0.47903901934623716,0.47903901934623716,0.742908443344964,0.8264092789755927,0.422173802057902,0.7820475578308106,0.8924291001425849,2.254551124572754,0.5803440332412719
0.4635660025808546,0.5619030435880025,0.5619030435880025,0.7742240760061476,0.8368000017272101,0.4635660025808546,0.7809624883863661,0.882861422167884,1.8970077329211765,0.6045487417115105,0.43536297745174835,0.49215493467119004,0.49215493467119004,0.7484264797634549,0.8303945541381836,0.43536297745174835,0.7897923191388448,0.896118336253696,2.1867214573754206,0.5910564528571235
0.4882012181811862,0.5950946436987983,0.5950946436987983,0.7944649034076267,0.8566646138827007,0.4882012181811862,0.7976482219166225,0.8970957769287957,1.791077979405721,0.6252414928542243,0.44132822553316753,0.49438048468695744,0.49438048468695744,0.7563162644704183,0.8325413836373223,0.44132822553316753,0.8012228038575914,0.9023249334759182,2.1566473139656916,0.5978575507799785
0.49150183664427866,0.6006354159779019,0.6006354159779019,0.8037774933709039,0.86291354364819,0.49150183664427866,0.8077437586254543,0.9008597758081224,1.728459726439582,0.6300006892946032,0.4473612116442786,0.5001643425888486,0.5001643425888486,0.7580146816041734,0.8347265892558627,0.4473612116442786,0.805908547507392,0.9050593084759182,2.09816460079617,0.6042664276229011
0.5011422713597615,0.6121587687068515,0.6121587687068515,0.8024924450450474,0.8573233048121135,0.5011422713597615,0.8141134288575914,0.9034152719709608,1.6810789028803508,0.6390943434503343,0.4553646332687802,0.5061316576268938,0.5061316576268938,0.7631955915027194,0.8380931748284234,0.4553646332687802,0.8131497873200311,0.9078804890314738,2.0580172353320654,0.6108385894033644
0.518399265077379,0.6233245730400085,0.6233245730400085,0.8059360384941101,0.859415226512485,0.518399265077379,0.8262348466449314,0.9120852907498678,1.6387502723269993,0.653167004055447,0.46824998988045585,0.5173990196651883,0.5173990196651883,0.7687594003147549,0.8389231734805637,0.46824998988045585,0.8231793416870965,0.9123474624421861,2.0319809277852374,0.6213219390975104
0.5336629933781094,0.6327171405156453,0.6327171405156453,0.8138545963499281,0.865418533484141,0.5336629933781094,0.8372313035859003,0.921303990152147,1.5788508600658842,0.6661589543024699,0.4717430353164673,0.5199666168954638,0.5199666168954638,0.7710646324687533,0.8411519262525771,0.4717430353164673,0.8271706408924526,0.9169273336728414,1.9941465430789524,0.6254347443580628
0.5430344820022583,0.6457965983284845,0.6457965983284845,0.8174682431750827,0.865281171268887,0.5430344820022583,0.845892792277866,0.9238908463054233,1.5144613610373603,0.674626084168752,0.48277260926034715,0.5198236909177568,0.5198236909177568,0.7754104733467102,0.8450508740213182,0.48277260926034715,0.8362365523974101,0.9222831871774462,1.9616145849227906,0.6351362056202359
0.5551717042922973,0.654336052470737,0.654336052470737,0.8237571438153585,0.8688101477093166,0.5551717042922973,0.8552088353368971,0.9275557465023465,1.4584268093109132,0.6852519128057691,0.4875416464275784,0.522581097152498,0.522581097152498,0.7755116555425856,0.8444573190477159,0.4875416464275784,0.8384292708502875,0.9211790508694119,1.9271516826417712,0.6386860251426697
