,category
21,7326
81,6237
24,4810
26,3796
13,3349
72,3074
75,2555
51,1930
73,1899
41,1891
23,1841
52,1620
93,1531
22,1505
25,1131
71,1094
96,1019
82,985
83,984
12,938
74,687
61,389
1,240
