train_accuracy_micro,train_accuracy_macro,train_recall_at_1_macro,train_recall_at_5_macro,train_recall_at_10_macro,train_recall_at_1_micro,train_recall_at_5_micro,train_recall_at_10_micro,train_losses,train_mrr,valid_accuracy_micro,valid_accuracy_macro,valid_recall_at_1_macro,valid_recall_at_5_macro,valid_recall_at_10_macro,valid_recall_at_1_micro,valid_recall_at_5_micro,valid_recall_at_10_micro,valid_losses,valid_mrr
0.1274784743785858,0.15241177152428362,0.15241177152428362,0.44033808939986757,0.6556943052344852,0.1274784743785858,0.4086421701643202,0.6277682436837091,2.9304494433932833,0.27544848223527274,0.08246853922804197,0.09917305211226145,0.09917305211226145,0.29754240115483604,0.6022796392440796,0.08246853922804197,0.277160605457094,0.5631006148126391,3.074329286151462,0.21227536863750882
0.27496587965223523,0.3540087150202857,0.3540087150202857,0.6851853569348653,0.8388547804620531,0.27496587965223523,0.6381936921013727,0.8147140436702305,2.5062673568725584,0.44147392445140415,0.36748655239741007,0.45137256185213726,0.45137256185213726,0.771097391181522,0.8930872797966003,0.36748655239741007,0.7349748611450195,0.8735438744227092,2.393915123409695,0.5321613781981998
0.34893801212310793,0.4432595749696096,0.4432595749696096,0.7687361650996738,0.8906733155250549,0.34893801212310793,0.726294305589464,0.868542018201616,2.252032661437988,0.5171195771959093,0.4050766196515825,0.49470324913660685,0.49470324913660685,0.810177497069041,0.9161931739913093,0.4050766196515825,0.779342786471049,0.9017867896291945,2.1592831823560927,0.5694521917237176
0.401449853181839,0.49577778114212884,0.49577778114212884,0.8115835216310289,0.9161191754870944,0.401449853181839,0.7730596701304118,0.8987867289119297,2.1144049088160197,0.5643969231181675,0.4347588512632582,0.5201427784230974,0.5201427784230974,0.8346805228127374,0.9290779299206204,0.4347588512632582,0.8095822294553121,0.9189047945870293,2.0340063015619916,0.597756642765469
0.44451218313641017,0.5434030135472615,0.5434030135472615,0.8410937680138482,0.9344186743100484,0.44451218313641017,0.8046950260798137,0.9180314713054233,1.9417611519495646,0.602218238512675,0.4534202893575033,0.5410340481334263,0.5410340481334263,0.8504257215393914,0.9367779903941684,0.4534202893575033,0.8286272684733073,0.9303162124421861,1.9403149710761176,0.6155913657612271
0.4594427386919657,0.5658402058813307,0.5658402058813307,0.8545386738247341,0.9393444352679783,0.4594427386919657,0.8219068619940016,0.9266026417414347,1.8526255448659261,0.6163751469718085,0.47387503981590273,0.557432543569141,0.557432543569141,0.8616335590680441,0.9429207748836941,0.47387503981590273,0.8446880526012844,0.938125201066335,1.8561656501558093,0.6334918724166022
0.48876394894387987,0.5886765778064728,0.5886765778064728,0.8737430930137634,0.9440980169508192,0.48876394894387987,0.8426844994227092,0.9343682262632582,1.7644146230485704,0.6413252075513204,0.49585240019692317,0.5740332338545058,0.5740332338545058,0.8709343367152744,0.945275358359019,0.49585240019692317,0.8579831004142762,0.9445904586050246,1.7916571193271214,0.6514149347941081
0.5090398205651178,0.6112642076280382,0.6112642076280382,0.8854229278034634,0.9538584735658434,0.5090398205651178,0.855529965294732,0.9437033361858792,1.6599111027187772,0.658366322517395,0.507159701983134,0.5840841982099745,0.5840841982099745,0.8763146162033081,0.9490354975064595,0.507159701983134,0.8657278617223104,0.94821195602417,1.7143390231662325,0.6606571051809523
0.5277047713597616,0.6281891822814941,0.6281891822814941,0.8989013168546889,0.9599029223124186,0.5277047713597616,0.8730611748165554,0.9507310734854804,1.5926749944686889,0.6768161429299249,0.5324600087271796,0.5985393683115642,0.5985393683115642,0.8828002770741781,0.9520040962431165,0.5324600087271796,0.8774014525943332,0.9532240986824035,1.6688800785276625,0.6802753421995374
0.5541403240627713,0.6490562730365329,0.6490562730365329,0.9099942723910014,0.963266392548879,0.5541403240627713,0.8837573263380263,0.9534411125712925,1.5142316712273491,0.6954666813214619,0.5335224986076355,0.6001101149453058,0.6001101149453058,0.8869241502549913,0.9542278210322063,0.5335224986076355,0.8816965725686815,0.9555643359820049,1.613245153427124,0.6826450135972765
