train_losses,train_mrr,train_accuracy_micro,train_accuracy_macro,train_recall_at_1_macro,train_recall_at_5_macro,train_recall_at_1_micro,train_recall_at_5_micro,valid_losses,valid_mrr,valid_accuracy_micro,valid_accuracy_macro,valid_recall_at_1_macro,valid_recall_at_5_macro,valid_recall_at_1_micro,valid_recall_at_5_micro
2.089755654335022,0.33757953776253596,0.1287978685564465,0.2515768470035659,0.2515768470035659,0.6722474568419986,0.1287978685564465,0.5908397555351257,2.2364509211646184,0.26589493950208026,0.037102350261476305,0.1587989672190613,0.1587989672190613,0.6597257031334771,0.037102350261476305,0.564517100652059
1.7061000691519843,0.5059978591071235,0.31297441985872054,0.43829790420002407,0.43829790420002407,0.8208987712860107,0.31297441985872054,0.7729954441388448,1.6461295207341513,0.5803357018364801,0.39460626376999747,0.5183142986562517,0.5183142986562517,0.8818814860449897,0.39460626376999747,0.8427211284637451
1.5336698240704008,0.5844096567895677,0.40441855324639214,0.5316374871465895,0.5316374871465895,0.8741666131549412,0.40441855324639214,0.8429865625169543,1.479727562268575,0.633267589410146,0.45100027124087017,0.5675971428553264,0.5675971428553264,0.9148439023229811,0.45100027124087017,0.8921774652269151
1.3904230011834038,0.6478495611084832,0.4766944646835327,0.5867049773534139,0.5867049773534139,0.905441607369317,0.4766944646835327,0.8906566116544935,1.3889870723088582,0.6627035286691454,0.48266849319140115,0.5951790452003479,0.5951790452003479,0.9271479619873895,0.48266849319140115,0.9125072757403055
1.286298139890035,0.6869579103257921,0.5228920804129706,0.6213507758246528,0.6213507758246528,0.9196004854308234,0.5228920804129706,0.9174481670061747,1.318081471655104,0.6904834813541836,0.5170382248030768,0.620915432771047,0.620915432771047,0.9374811781777276,0.5170382248030768,0.9304273539119297
1.19758882522583,0.7133017937342326,0.5554183231459724,0.6493515054384867,0.6493515054384867,0.9257478634516398,0.5554183231459724,0.9302068286471896,1.2615828620062934,0.7075761636098226,0.5387551678551568,0.629606016476949,0.629606016476949,0.9427775753868951,0.5387551678551568,0.9390436834759183
1.1317434655295477,0.7354157712724474,0.5843416319953071,0.6793322245279948,0.6793322245279948,0.9412300361527337,0.5843416319953071,0.9427918778525458,1.2139890962176854,0.7209660662545099,0.5575207233428955,0.6388815071847703,0.6388815071847703,0.9464805126190186,0.5575207233428955,0.9446391291088528
1.0728071398205228,0.7598733637068007,0.6177565031581455,0.6842010630501641,0.6842010630501641,0.9306826366318597,0.6177565031581455,0.9504046744770474,1.1718349072668288,0.735790941450331,0.5763748394118415,0.6504257374339634,0.6504257374339634,0.9494772420989143,0.5763748394118415,0.951080052057902
1.0083138465881347,0.7739088932673136,0.6363449335098267,0.7175124287605286,0.7175124287605286,0.9557140005959405,0.6363449335098267,0.9572153978877598,1.130710776646932,0.7423850562837389,0.5857428153355916,0.6586880207061767,0.6586880207061767,0.9510890947447883,0.5857428153355916,0.9536842187245687
0.9323274599181282,0.789376171429952,0.6608170761002434,0.7333153883616129,0.7333153883616129,0.955483341217041,0.6608170761002434,0.9615973220931159,1.0928928361998664,0.7512825899653964,0.5969580425156488,0.6631873104307386,0.6631873104307386,0.954429214530521,0.5969580425156488,0.9577189207077026
0.8951887408892314,0.8026572863260905,0.6795914120144314,0.7450065175692241,0.7450065175692241,0.9549513075086805,0.6795914120144314,0.9650278978877598,1.06524850792355,0.758672195010715,0.6072843909263611,0.6672548585467868,0.6672548585467868,0.956361362669203,0.6072843909263611,0.9602137022548252
0.8667377140786913,0.8127154601944817,0.6943102214071486,0.7505439943737454,0.7505439943737454,0.9559225082397461,0.6943102214071486,0.9693473524517483,1.036876983112759,0.7649135245217218,0.6154840032259623,0.6691165049870809,0.6691165049870809,0.9574018783039517,0.6154840032259623,0.9632917867766486
0.8112827817598979,0.8204309966829088,0.7042978790071276,0.7663266936937968,0.7663266936937968,0.9649024274614122,0.7042978790071276,0.972470596101549,1.0097125106387668,0.7697795351346334,0.6230117519696553,0.677770733833313,0.677770733833313,0.9591429339514839,0.6230117519696553,0.9643126302295261
0.7738523774676853,0.8270041373040941,0.7164453877343072,0.7729984415902031,0.7729984415902031,0.9606109102567036,0.7164453877343072,0.9738125708368089,0.9858452200889587,0.7745224754015605,0.629107207722134,0.6822782821125455,0.6822782821125455,0.9602432555622524,0.629107207722134,0.9662830657429166
