occupation_name,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Assemblers,5.2230057636217575,,3.665741248882104,,0.9775238550106868,,,,,2.647513236101373,,,2.2944822523236708,2.0105154019905314,9.010288741825434,12.586006053432186,,,,,,0.7911933935812021,1.2655324131315426,,2.4004479231979126,9.51918350775951,,,,1.5265901447965025,5.1699489764107875,,3.634174286028391,3.683803570112265,,2.5631359540416288,4.339641478296263,,3.288398972351647,,,4.7057569341032,5.473209417742386,2.2726086582737004,,,,-0.034381471264721686,,1.896521150890207,
Building and Related Trades Workers (excluding Electricians),0.49504627873309115,,0.10532900463067207,-0.06283736181155186,0.025307181695510828,1.4486724355164737,0.6387265736165437,0.19086311737437356,1.1327238451109611,-0.58930273190414,0.3190532965334558,0.11907678410696398,0.7105960610514828,0.4679117387757392,0.43997912022344376,0.5199552212448832,1.0687792435500665,0.03596828932941332,0.06286504021169037,0.3611298203394675,0.49734466168838143,0.3882090881871081,0.3060615163836822,0.12882862883163426,0.23175513826512173,0.44358298616349323,0.24326162920074168,1.4433742308411324,0.09326348811646845,0.34084832492569106,0.1818153255322308,-0.15940909387109903,0.15924792831061296,0.5740702687161869,0.6391664379588047,0.3150468955325447,0.5485802635127879,0.0011113195157230749,0.23920258609277933,1.5233890318613552,-0.137015305587318,0.1933361186070348,0.2394257928441057,0.37618379149888526,0.21247268656496843,,0.5118394283300187,0.8465660120926533,0.4384086024145084,0.45599558162363607,-0.2014615298122191
Business and administration professionals,0.12399917900993707,0.6452524702748041,-0.5856768229533738,0.19721865603854472,0.29057178194487054,0.37381287210320746,2.0374434772444383,2.050181068116008,0.20929770364379596,1.1264479628019908,0.4946091499233196,0.5691802522346912,0.7639896305060345,0.34733269053099924,0.8685334290442492,0.9719968047877448,0.4218227480956571,0.605618429780419,-0.15152287399226028,0.8379039304465152,1.1751083076294577,-0.013804968900488213,1.0294358703342166,0.08005360436051934,0.46829819965350516,1.148526656768345,1.148933698106691,0.49750378252535477,1.0623787180315203,0.07399729753938544,1.2784201334548495,-0.029970288781988597,0.4046034202055182,1.0808325579183098,1.2608910988617605,0.5989995821704008,1.7539228884028368,3.0955867814930427,0.626923945998259,-1.8868241921192963,2.470057844488327,0.8294469844861485,0.8039525342950604,1.4163473574431151,0.40413469013746983,0.32022104662088324,0.46637730854139914,0.7381399757313778,-0.28683986927963145,0.6731763337795682,0.7032712283565168
"Chief executives, senior officials and legislators",0.5635891827760364,0.07062516825540044,0.9828756157124641,-0.11876126914250884,0.8186341624978999,0.34208195685463405,2.915311568783907,6.3942494271571615,0.10269811472825019,-0.08514627196117841,1.1502349435744463,0.7158909550914583,1.0045225850661144,0.659554659174244,2.1089438832930574,-0.135627599775745,0.8327580727436779,0.5473022037752129,0.06789121116821395,3.233295103186462,1.5146709029990157,-1.298548964906432,0.932838261260982,-0.03675929109404619,0.048912680453194746,2.326363694570377,0.9992359760424119,1.0302173226588884,-0.10678247395622398,0.6742347256625925,0.8422243642617566,0.6548255291935368,0.3469864277154677,0.8644181768366677,-0.9116348137075958,0.4382533196563232,-0.6228310420516414,1.2135145741470232,0.15981428264053577,1.4537026402048348,1.0738898913240869,0.3864807056204844,0.15967958740354948,0.2355530283889129,0.8165905399858842,-0.07236707421246491,0.8059174636746214,1.2232468558176501,-0.016500952678011327,1.818085971158423,0.37893883534125816
Cleaners and helpers,0.5666211325890291,0.6780484575202639,0.7504089453613583,0.3835359189768406,0.041836132095407486,1.0078151615398268,1.0088062488586846,0.3430437686567034,0.7971932595327136,0.595603642736009,0.597651782002484,0.12131505969206202,0.542769031289736,0.6193730679521225,0.2722120595437749,-0.05662419602789903,0.5772934212540104,0.331447304687682,0.6376172775734101,0.5511147704602593,1.100265408800527,0.46046845846037243,0.33924978552455354,0.05755747655673549,0.13663829459877874,0.47757201024016815,0.871067082632937,0.4496463397352102,0.03040809703598324,0.3788767512844293,1.012417659891196,0.13962648400802635,-0.05726920407682634,0.4554637595625799,0.7016359941021566,0.5226885480344334,0.8051802106358252,0.8571145537195513,0.9996581757334644,1.0044388703353668,0.2839914413001132,-0.11496418578816892,1.1374649923360902,0.27767465620875953,0.8231426435137079,0.3021106238237259,0.04878586214840386,0.8068356625120288,0.15259279665722492,0.07540517768958033,0.8432880439442902
Commissioned armed forces officers,4.919929624797237,,1.4384490699057562,,0.22927740904181704,2.7372323359350137,2.4062621674388662,5.4723623904154195,1.3335577461270454,-0.27800316359450905,1.2270404850549088,2.48491425336681,1.1081875254330242,1.069476978495243,4.530493941483749,6.569224004447349,4.507095192388433,,6.064183327359163,5.165414451052497,1.8403583618062713,1.6132985303547231,3.5488118128476964,0.27404979967704524,,5.295690515332119,2.4215286208580267,7.0534074325108165,,0.979405851548476,2.378351293848624,1.4512157101794099,2.1217195271587164,1.2770529982007117,2.3484582420523425,1.5314035702286066,5.359187933611964,1.4111663438521882,1.195264810332497,,5.024581312310383,,2.7220478398105374,1.3023392233215692,1.1486731173337983,,-1.2681750594244035,1.0850259544863405,2.3298062917073814,1.438107354090734,
Drivers and mobile plant operators,-0.05441556631494704,0.34720329341106915,0.44441549322029594,0.8575956709740762,0.5976295107252394,0.9526878628911994,0.9324312698851811,0.8270409645103394,0.8626453027840819,0.6860657211086751,0.10003274947771867,-0.03733449588183557,0.8453622067624567,0.36836226294338914,0.34097044315242186,0.12424958577221812,-0.4694267386937456,-0.11617126445740977,0.2221826193345544,0.8976592777195647,0.3017048633193964,0.6184528201075512,0.4635975132260661,0.09915205366828328,0.16750661654665322,1.2947134764084378,1.1197025941088956,0.9548390716836774,-0.1274321905007758,0.23751928431152702,1.0381895766007343,-0.011120723240243269,0.28272610421959943,0.33550519262453005,0.34743214063379657,-0.20256729983256783,0.7310557318358057,0.492741809229047,0.040524200174973934,0.7887112032255228,0.566132074312975,0.3619287655129977,0.8443677162250696,0.2430011356052697,0.21354698386821802,2.1072339528163564,1.3936724924935584,0.1472814723013638,-0.16897467102885422,1.0402406966143696,0.4663900902007301
Electrical and Electronics Trades Workers,1.696606818152957,3.880510433124229,1.1389616022916993,0.31594008021491593,0.28653706758625663,1.4093957298364268,2.3483337401046356,1.3059770891383549,0.7796487417467635,0.5376140744276281,0.13203989218590895,0.7221039654305539,0.9752738514918757,1.370923901182719,2.369965629941939,1.2354120307346061,0.2513358613674965,1.6481489827408158,0.12484360177413834,1.484907848658179,1.0593775101326974,0.7103660099261999,-0.1427967769941807,0.14797862005906381,0.7103991399122656,0.5574735117059637,1.2761443949270923,2.6405927857490408,0.8870187124953244,0.8520594597118292,1.0679963300589401,0.4057098906885326,0.9217745994241522,0.7688527990283633,-0.19092405344561802,0.8935933890801939,1.7753024643672566,-1.8082993904169231,0.49658595395456473,2.9408470648310203,1.481587162160758,2.7523681866396865,2.119993800348108,-0.03579550767143225,0.43494233754479694,-2.548340560443607,0.9938489146207541,0.7603953673523511,0.20983421744342756,0.88177044883746,2.8456781016684696
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",0.7589419101107886,2.228308875139229,0.7441603273500519,1.0736013253330068,0.23326836940380513,1.9771938052434823,1.2276064515213791,2.4158233274490737,0.9875942897339396,0.7590086573568078,0.5549929141117849,0.39945506647824924,0.9379176119549637,0.6712696006975216,1.394888432706276,0.8592261067370099,1.06444640181933,1.2657067086801144,1.1770816320250121,1.3234550640136789,1.9778736465324576,1.0348802490226516,0.5962889818400985,0.16397649414068294,0.2493015073667948,2.98589079040672,2.102031785521974,1.0323228600519485,1.147465681212645,-0.0962019335747133,0.9435472550616941,0.3639840719944498,0.4443461435929219,0.6261581857460952,1.1452704006681413,0.9077832618726633,1.0732780142710396,1.20094431637503,0.9828946125683746,1.7620829877595945,1.5300229529933596,0.8863602038629237,1.2394312138800156,0.20017791084829817,0.6744345373253413,,0.7069121231071174,0.8799822170696858,0.43783589974153436,1.0458554050349012,
General and keyboard clerks,0.07887106326329718,0.544883558113396,0.09437476662148558,0.4397945972060002,-0.03214858549184241,0.19703168460842857,0.2452231237034308,-1.5784025892303988,1.3047484325067638,0.9898215335839788,0.3071925100175843,0.16444057336928442,0.013694194980518049,0.0980452060627579,0.9458923469199965,-0.05097557589849311,-0.5846462187419244,0.1845046899157765,0.19174309661111888,0.8465532402954556,0.4419263200221346,0.06776170813458382,-0.0006623486116907884,-0.05685000448774069,0.1040054889758224,1.081597041266047,0.4383593696763777,1.3377056629998219,-0.18148315606009158,-0.021580038165747162,-0.11418476046745063,0.3057336454176385,0.49035765807263765,0.6551524903214201,-0.1549891465135289,0.13399369350091117,0.2452489087869436,0.9277687410335078,0.01784446579753407,0.3764613795543159,0.6000417588424733,0.8270807422134485,0.7124615273344403,0.11181737605583386,0.12556281081828047,-0.1866499233865282,0.3636694388406747,0.11645126112809212,0.0763617760305868,0.21655321553200046,0.6987477036998424
Handicraft and printing workers,4.438341819139513,,3.8565633795889287,5.561257370916395,1.007546879998289,3.444120976200904,2.5080353065936034,2.740190409092458,,0.6673989464463403,1.801611776134493,1.7732392823483822,2.4550464754255374,1.1527468181943945,5.623726656876271,4.084839923918859,6.188444188726749,3.2810423351340434,2.3191829429518807,,1.9074930565782466,1.2947236903992243,3.7813866270398178,0.3435893633004783,2.276846648667563,5.68711219279725,5.968351784374315,5.107913805134623,4.655043310080176,,2.0548369367788366,0.7693879819677063,1.0800970515611352,3.170018062499391,,2.366399899034155,2.7483687610292407,1.9032604712378332,1.09158088701502,,4.9530069227015305,4.96462522475507,3.4722288759808873,0.6871872096594123,1.8176115815405014,,0.8136580686254336,1.6021874256840318,1.848972581613273,2.0151969276729353,
Health professionals,0.37924252258600966,1.0077912261217792,1.3674879014459629,-0.26692731451067875,-0.15235311303514187,1.4377648990872904,0.3028726322994002,0.37922592185186677,-0.16073836658668794,0.4931014238030773,-0.09132040649872941,0.19225513869536304,-0.12761382667457744,0.53551855433982,-0.05832171322761592,0.34485078932631197,0.46857249589780103,2.359657674754101,0.9291486904257074,1.6344758013057348,0.023244526101895424,0.2421080806319198,0.0052660041314434025,0.2836183024168992,0.0844441451467226,-0.17635882850475237,0.009888617366415886,-1.0549523259948845,-0.0028040553305519467,-0.27717356442306107,0.746515628132105,-0.7573466214241154,0.12228197685832942,1.1306875619274237,-0.3949411470958064,0.7833296777945975,0.9048175547634152,1.1145886904766256,-0.1049138333848676,-1.080521483193364,1.4425904252322264,-0.6188233680127886,1.2936005791914562,0.930589651539182,0.3659688121046889,0.8111366647579388,0.8073051653313401,0.38953445048706126,0.03873931366007444,2.8160609555514027,-0.036994824470359955
Information and communications technology professionals,-0.6865928713294944,0.028735611897912072,0.43481218455254655,-0.11700334712929639,0.39401862316992275,1.027992628435026,-0.3033151615640106,-3.556154580315385,0.2653365779451411,-0.4906623843158986,0.5529006910273138,-0.08049054388846733,0.15642738856731508,0.11056804728868386,0.8534958191491082,-0.7316896215569635,-0.6669046180298843,-1.0537863760073485,-0.3752696312642301,-6.965191899745637,0.8979749294800943,0.7591278735973095,-0.1921023374775621,-0.12605515731958228,0.9336594352877814,0.6400827760826289,0.27581978081576697,2.455333489021294,-0.22847407429812394,0.6245124360579002,0.13655438252326846,-0.5431018723655701,0.8937818695397226,0.277628110430439,-1.6904573483146779,0.4611632768521279,0.005037137442376327,-1.5072090271697536,1.2934533260380743,-0.7790774576469817,-1.1115928279960219,-5.082898796768676,-0.39230894451954823,-0.06983396120026075,1.5916241012093657,0.1872359747219443,-0.19883406887297728,0.44918884432585404,-0.44832452067096185,-0.27687802090792246,-1.1373876703679064
"Labourers in mining, construction, manufacturing and transport",-0.5249194293592163,0.702212592446072,0.26404976253702195,0.0042562585359062766,0.18880274306691813,0.44396170194649365,0.5731910816070052,0.07334609902294176,1.262766560480233,0.16807203313091712,0.20896354956034813,0.10083572955461584,0.08586390220648443,-0.5061939561055717,-0.696477642645521,-0.004241126417381391,0.4854156501478357,-0.2522015314874615,0.01851308012170705,1.0347496899473896,-0.27498520777977653,0.20047980569291024,0.18938869398312796,0.030668236618525135,-0.058423953275033025,-0.44928983120225974,0.32931948013459333,0.6673734309706303,-0.026888550591097626,0.12109865078704374,-1.4620842325965167,0.041949923931272615,-0.09049918267363122,0.42442318500419685,0.17390794567009316,-0.11253068664519583,-1.1074576057290897,0.6417388573134675,0.21149970280232022,0.48215157479871706,-0.2404322180539542,-0.8068704225164591,0.41900459057111483,-0.013845498573594739,-0.23927583831514498,0.888690242119039,1.9060281607204743,0.9165688118258464,-0.17341795589179698,0.24240103365060772,0.10556440802362843
"Legal, social and cultural professionals",-0.8200314011332255,-0.486923249334259,-0.6693682682424762,0.3175865530210764,0.8220850936974111,0.8836625951064603,0.7360562132865178,-0.8439429965615863,0.3378889068015756,0.04268218773881838,0.27654201074567286,-0.12486520731525008,0.06105754469016844,0.6511844791166732,-1.2369613313208627,-0.31374317402594887,1.2143727059092058,-0.6875787774077491,0.076442472318905,0.2851153525854411,1.2594702265130042,0.17025382260662525,0.1981794457962982,0.09583102104910868,-0.37142802865300917,-0.541806309240267,-1.251717013310838,-1.4557773501058136,0.08599770559825082,0.8014114888812873,1.2945382369075054,0.26518549837613037,0.7898895485475066,0.2222940800891804,0.6634237738073256,-0.4776059067540084,0.937829325269135,-0.8926307478739681,0.39580109640704464,1.6700060727462107,0.05198632701393091,-0.20208377753312412,1.6691569114254623,0.3632395471166783,0.4467714474035045,0.6881448097594278,0.6354845185995606,0.7568890253513594,-0.6785116831341975,-0.3519688315253511,-1.0927322386963811
